PartcipantID:1
RandID:1
InitialTimeStamp:18-45-40-139
instanceNumber;capacity;profit;weights;values;id;type;sol
1;60;114;3,39,11,22,26,39;22,5,39,8,41,12;228-0.43-0.9;;0
2;63;107;38,18,22,44,10,18;14,34,24,16,22,13;195-0.42-0.87;;0
3;54;147;46,11,43,4,6,10;21,1,44,41,49,14;16-0.45-0.87;;0
4;55;105;9,23,1,3,43,49;23,11,16,10,45,14;136-0.43-0.89;;0
5;49;68;14,20,34,27,5,9;42,3,14,10,6,3;223-0.45-0.88;;0
6;62;114;22,25,45,17,11,21;12,18,13,2,43,39;46-0.44-0.9;;0
7;61;101;11,35,40,15,7,29;18,45,18,5,37,44;234-0.45-0.61;;0
8;89;124;1,32,44,39,42,46;49,25,24,26,40,31;211-0.44-0.64;;0
9;63;104;21,1,27,18,49,39;37,6,41,28,19,41;208-0.41-0.61;;0
10;57;123;11,18,41,4,42,25;32,45,12,42,46,26;155-0.41-0.61;;0
11;70;73;21,40,23,45,38,4;15,13,34,25,32,2;33-0.41-0.61;;0
12;44;117;24,2,27,18,20,9;48,17,3,38,36,38;220-0.44-0.65;;0
13;97;98;48,34,43,32,20,44;26,24,34,47,17,11;98-0.44-0.62;;1
14;98;93;46,47,30,48,36,23;38,21,39,2,38,16;248-0.43-0.61;;1
15;63;105;20,32,22,9,28,31;7,35,39,18,48,18;55-0.45-0.64;;1
16;87;80;46,36,13,30,39,45;20,4,34,35,27,12;204-0.42-0.61;;1
17;64;89;27,3,37,23,35,28;11,15,35,41,14,29;51-0.42-0.62;;1
18;52;98;20,34,16,22,8,17;14,33,40,7,37,30;179-0.45-0.61;;1
19;74;52;49,39,4,45,22,23;13,36,25,23,3,38;145-0.41-0.38;;1
20;46;68;38,8,14,23,28,3;21,44,17,36,13,45;147-0.41-0.39;;1
21;102;69;49,45,21,46,37,40;33,26,9,36,35,39;31-0.43-0.39;;1
22;66;87;37,27,22,46,3,27;47,37,34,39,43,29;69-0.41-0.38;;1
23;80;58;19,36,27,29,34,39;21,25,18,42,4,41;86-0.44-0.39;;1
24;45;53;16,26,5,20,39,4;26,6,21,47,42,3;131-0.41-0.37;;1
